configuration_path,shape_and_values,optional,constraints,source
$.$schema,"{""type"":[""string"",""null""]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/options.go#L14
$.certificate,"{""$ref"":""#/$defs/CertificateOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/options.go#L18
$.certificate (CertificateOptions).certificate,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/certificate.go#L11
$.certificate (CertificateOptions).certificate_directory_path,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/certificate.go#L13
$.certificate (CertificateOptions).certificate_path,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/certificate.go#L12
$.certificate (CertificateOptions).store,"{""enum"":["""",""system"",""mozilla"",""none""],""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/certificate.go#L10
$.dns,"{""$ref"":""#/$defs/DNSOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/options.go#L16
$.dns (DNSOptions).cache_capacity,"{""maximum"":4294967295,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L110
$.dns (DNSOptions).client_subnet,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L111
$.dns (DNSOptions).disable_cache,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L107
$.dns (DNSOptions).disable_expire,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L108
$.dns (DNSOptions).fakeip,"{""$ref"":""#/$defs/LegacyDNSFakeIPOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L30
$.dns (DNSOptions).fakeip (LegacyDNSFakeIPOptions).enabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L115
$.dns (DNSOptions).fakeip (LegacyDNSFakeIPOptions).inet4_range,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L116
$.dns (DNSOptions).fakeip (LegacyDNSFakeIPOptions).inet6_range,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L117
$.dns (DNSOptions).final,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L24
